5000,0.0015394077,0.0000083048
10000,0.0017495854,0.0001254817
15000,0.0026744457,0.0000295510
20000,0.0036457148,0.0000323023
25000,0.0044184696,0.0000053570
30000,0.0053582660,0.0000046037
35000,0.0067097331,0.0000030862
40000,0.0075643168,0.0000033054
45000,0.0088747017,0.0000080146
50000,0.0100689358,0.0000044122
55000,0.0110495362,0.0000064448
60000,0.0125075845,0.0000057838
65000,0.0137024089,0.0000144500
70000,0.0151076600,0.0000193571
75000,0.0163032118,0.0000088081
80000,0.0176311675,0.0000086520
85000,0.0193802203,0.0000109985
90000,0.0204861610,0.0000137335
95000,0.0221077754,0.0000094151
100000,0.0232200377,0.0000119748
105000,0.0249991918,0.0000117332
110000,0.0261998373,0.0000161071
115000,0.0282885078,0.0000163703
120000,0.0293837543,0.0000128300
125000,0.0311748315,0.0000144207
130000,0.0337869106,0.0000150936
135000,0.0344517319,0.0000166443
140000,0.0360690256,0.0000161467
145000,0.0387626478,0.0000176246
150000,0.0399013657,0.0000218212
