5000,0.0013240677,0.0000162109
10000,0.0028462370,0.0000169434
15000,0.0046053618,0.0000040520
20000,0.0064007110,0.0000051476
25000,0.0083254583,0.0000099029
30000,0.0103738445,0.0000044197
35000,0.0126034069,0.0000068213
40000,0.0153375068,0.0000043169
45000,0.0169020882,0.0000049628
50000,0.0198357394,0.0000013012
55000,0.0218506466,0.0000013224
60000,0.0251448380,0.0000010964
65000,0.0325727494,0.0000024949
70000,0.0320752152,0.0000982959
75000,0.0354967021,0.0000140878
80000,0.0354640424,0.0000210911
85000,0.0383617429,0.0000024373
90000,0.0424142417,0.0000107456
95000,0.0442678912,0.0000025649
100000,0.0463530258,0.0000024808
105000,0.0497044343,0.0000058840
110000,0.0531311604,0.0000142916
115000,0.0717125818,0.0000104133
120000,0.0679639638,0.0000046555
125000,0.0749641474,0.0000066584
130000,0.0703483044,0.0000041302
135000,0.0696483985,0.0000162514
140000,0.0728583224,0.0000048545
145000,0.0921986263,0.0000072475
150000,0.1002315741,0.0000205729
