5000,0.0000101841,0.0001577356
10000,0.0000086188,0.0001339980
15000,0.0000239747,0.0001055679
20000,0.0000103145,0.0001372294
25000,0.0000178889,0.0001719530
30000,0.0000271756,0.0002120269
35000,0.0000298312,0.0002503692
40000,0.0000276441,0.0002955592
45000,0.0000274591,0.0003419790
50000,0.0000289319,0.0003666161
55000,0.0000354079,0.0004442653
60000,0.0000352047,0.0004872337
65000,0.0001216461,0.0005333571
70000,0.0000421035,0.0006166263
75000,0.0000465978,0.0006297083
80000,0.0000445900,0.0006682931
85000,0.0000493518,0.0006936495
90000,0.0000551429,0.0007494470
95000,0.0000530202,0.0008487164
100000,0.0000569203,0.0008535479
105000,0.0000577984,0.0009183395
110000,0.0000595445,0.0009538653
115000,0.0000658597,0.0010084985
120000,0.0000638448,0.0010682339
125000,0.0000724923,0.0011322367
130000,0.0000690539,0.0011583842
135000,0.0016325129,0.0019835169
140000,0.0003445366,0.0014149608
145000,0.0006790829,0.0014366201
150000,0.0007074321,0.0015511113
