5000,0.0017901614,0.0000064105
10000,0.0028557298,0.0000064989
15000,0.0046717299,0.0000040933
20000,0.0063729888,0.0000038364
25000,0.0079924171,0.0000023323
30000,0.0104896787,0.0000033848
35000,0.0120143701,0.0000032660
40000,0.0136827385,0.0000066898
45000,0.0159877315,0.0000041845
50000,0.0176359423,0.0000045276
55000,0.0197954573,0.0000030173
60000,0.0215719009,0.0000008926
65000,0.0236079912,0.0000029151
70000,0.0253934755,0.0000031689
75000,0.0274989052,0.0000031803
80000,0.0299490078,0.0000032888
85000,0.0317296075,0.0000017726
90000,0.0340289026,0.0000013737
95000,0.0361608924,0.0000014628
100000,0.0384465149,0.0000023333
105000,0.0410286932,0.0000013777
110000,0.0425897763,0.0000007381
115000,0.0452981144,0.0000008316
120000,0.0473037302,0.0000016347
125000,0.0495537123,0.0000008717
130000,0.0514773749,0.0000007719
135000,0.0571862804,0.0000164684
140000,0.0637124520,0.0000202589
145000,0.0621299837,0.0000211122
150000,0.0646389702,0.0000209950
